subject_id,hr_gt,hr_pr,mae,me,n_segs,fold,lum_mean,lum_std,sharpness,temporal_var,spatial_var,bvp_snr,gt_hr_mean,gt_hr_std,participant,scenario
01-01,69.66059602649007,67.3789321192053,2.281663907284768,-2.281663907284768,151,cv_PURE_my_in_wl0.0_fold0,133.3194274432379,58.64579254209412,3868.5817896365998,3005.6981351707173,744.9308540967423,5.562632170995591,66.796875,0.0,01,01
01-02,73.50217301324503,74.10751241721854,1.9557119205298013,0.6053394039735099,151,cv_PURE_my_in_wl0.0_fold0,130.12399406821552,48.501723179930465,7309.464517986212,1579.1157372666144,1358.343947009392,5.019054382614304,73.828125,0.0,01,02
01-03,76.3930963010204,76.08816964285714,0.4125478316326531,-0.3049266581632653,196,cv_PURE_my_in_wl0.0_fold0,142.9473760580411,51.45991568176399,2915.2898184990936,2305.676819201993,533.268484643289,6.749334935563381,76.46484375,1.5223102800898336,01,03
01-04,73.81027918781726,73.4355171319797,0.5175285532994924,-0.37476205583756345,197,cv_PURE_my_in_wl0.0_fold0,110.72048154093098,62.86697802193784,2927.2384103481063,3481.326855852049,649.8308134831461,5.864044963363638,73.828125,0.0,01,04
01-05,69.68387831125828,69.56746688741723,0.16297599337748345,-0.1164114238410596,151,cv_PURE_my_in_wl0.0_fold0,133.1556697973307,51.955077255533794,5627.149757046168,2322.9924059181985,1047.1446430054375,5.784706736549036,70.3125,2.8704957923240366,01,05
01-06,73.388671875,70.05807976973684,3.330592105263158,-3.330592105263158,152,cv_PURE_my_in_wl0.0_fold0,145.08654581087703,59.96522392704998,3470.2855742872293,3438.538483364425,781.8820107790299,5.572521072874398,70.3125,0.0,01,06
02-01,69.873046875,69.96556332236842,0.37006578947368424,0.09251644736842106,152,cv_PURE_my_in_wl0.0_fold0,134.58063756743502,63.03978087926791,2733.589206928263,3857.2690056791057,510.3848207945071,9.10650090387528,69.140625,3.3145630368119416,02,01
02-02,79.74407327586206,68.46982758620689,12.147090517241379,-11.274245689655173,145,cv_PURE_my_in_wl0.0_fold0,135.91290060851927,48.23542165815302,8506.025342940724,1728.8705839563218,1429.9167821501012,9.024298794251125,80.859375,0.0,02,02
02-03,71.23877245508982,71.1124625748503,1.1788922155688624,-0.12630988023952097,167,cv_PURE_my_in_wl0.0_fold0,122.15007780320366,39.90258748620988,2373.905152304301,1460.4857395367833,435.3281054462243,7.879754523028703,73.828125,2.4859222776089562,02,03
02-04,71.11430921052632,70.92927631578948,0.26726973684210525,-0.18503289473684212,171,cv_PURE_my_in_wl0.0_fold0,167.82919064748202,46.25001629857367,2779.2100500669603,1705.2698853498139,643.9272158273382,7.412178820868281,72.0703125,1.7578125,02,04
02-05,73.45145089285714,73.15011160714286,0.3013392857142857,-0.3013392857142857,140,cv_PURE_my_in_wl0.0_fold0,145.69310416666667,54.64589877060751,5570.58649755165,2718.2075703450523,1326.2088183333333,9.177814344478533,73.828125,0.0,02,05
02-06,70.14040646853147,69.72246503496504,0.41794143356643354,-0.41794143356643354,143,cv_PURE_my_in_wl0.0_fold0,144.47975295934123,61.238590263479054,5366.7971899428085,3557.197633745483,1418.305910447761,8.060054768752389,69.140625,1.6572815184059708,02,06
03-01,99.83411815068493,75.12842465753425,26.054152397260275,-24.705693493150687,146,cv_PURE_my_in_wl0.0_fold1,100.9396757852077,61.72686304498322,602.933917215596,3789.3855237746216,116.79819574468084,8.707184468767467,89.0625,25.727927812617363,03,01
03-02,82.078125,70.8984375,27.1640625,-11.1796875,150,cv_PURE_my_in_wl0.0_fold1,150.67393759286776,54.11478155057578,9385.71304339964,2000.062766609729,1815.0730286280339,11.341297957322253,94.921875,27.382784638002942,03,02
03-03,81.84291294642857,61.900111607142854,19.984654017857142,-19.942801339285715,168,cv_PURE_my_in_wl0.0_fold1,122.15258181818182,42.77319031470357,4998.692733607933,1585.0310993884298,889.4686269090909,10.848348896276015,99.31640625,25.02954644396158,03,03
03-04,95.7347362716763,60.0298049132948,35.7049313583815,-35.7049313583815,173,cv_PURE_my_in_wl0.0_fold1,108.23714922048998,63.72324984601495,1693.0136881603567,3905.479116726604,304.50190538975505,10.322370480201641,83.49609375,27.27443082864182,03,04
03-05,76.74955985915493,60.38457306338028,16.364986795774648,-16.364986795774648,142,cv_PURE_my_in_wl0.0_fold1,134.9089819121447,50.05210891841173,6149.843684992221,2341.53532068185,1899.7895855297159,10.231083711062356,73.828125,24.85922277608956,03,05
03-06,70.14040646853147,61.11778846153846,11.67777534965035,-9.022618006993007,143,cv_PURE_my_in_wl0.0_fold1,128.4278564102564,53.094354670403156,5587.31126589307,2401.2168994714007,1780.2286851282051,9.42426746841438,58.59375,1.6572815184059708,03,06
04-01,77.0751953125,72.119140625,5.5908203125,-4.9560546875,144,cv_PURE_my_in_wl0.0_fold1,155.31740948495664,67.07519459193722,3865.6240518217437,4155.421362150929,779.9777762366141,7.955447263061944,78.515625,26.67142189861182,04,01
04-02,65.88886589403974,75.52773178807946,10.523592715231787,9.638865894039736,151,cv_PURE_my_in_wl0.0_fold1,146.7620533070089,64.17107907202924,2155.6133256662397,4038.5679795043507,420.22211253701875,8.237360081081713,65.625,1.6572815184059708,04,02
04-03,69.14732142857143,70.13169642857143,1.3861607142857142,0.984375,175,cv_PURE_my_in_wl0.0_fold1,130.7678801234024,47.00174779484862,3466.761228979553,1929.8353927550925,649.0348029969149,6.732938815616432,68.5546875,1.7578125,04,03
04-04,69.79314630681819,70.63210227272727,0.9987571022727273,0.8389559659090909,176,cv_PURE_my_in_wl0.0_fold1,136.852222709338,45.64098154626275,4257.23820576906,1545.4224341716188,1037.77408645331,4.816972299313894,68.5546875,3.044620560179667,04,04
04-05,65.73972902097903,65.86265297202797,0.2212631118881119,0.12292395104895106,143,cv_PURE_my_in_wl0.0_fold1,161.7989128205128,59.30091221547331,2785.7347675880605,3375.474455090072,946.0392943589743,8.769067788228638,64.453125,3.3145630368119416,04,05
04-06,74.755859375,65.72265625,10.44921875,-9.033203125,144,cv_PURE_my_in_wl0.0_fold1,139.7602650356779,66.74229501649152,1988.6895795074822,4394.216155299311,921.8069985728847,8.862446564940571,64.453125,3.3145630368119416,04,06
05-01,92.2672193877551,87.05357142857143,8.753188775510203,-5.213647959183674,147,cv_PURE_my_in_wl0.0_fold2,121.58735887096775,63.39885891698722,10752.39852477847,3601.4067736956135,2001.0152967741935,7.894195962521029,91.40625,2.8704957923240366,05,01
05-02,89.23552852348993,84.375,25.718330536912752,-4.860528523489933,149,cv_PURE_my_in_wl0.0_fold2,145.5800997008973,47.274540170635134,5971.78039589109,1809.7865313530992,1558.8445814556333,7.278172233764565,83.203125,19.53906093812469,05,02
05-03,94.10289417613636,74.64710582386364,25.368430397727273,-19.455788352272727,176,cv_PURE_my_in_wl0.0_fold2,135.18464238701185,54.06405729843102,4009.368685332031,2555.77779637074,1103.1669525230366,7.939635790616226,74.70703125,25.518570364965193,05,03
05-04,81.8021124301676,78.56145251396649,28.694570530726256,-3.240659916201117,179,cv_PURE_my_in_wl0.0_fold2,110.5007529208135,54.94995444970084,5077.651694591498,2181.5176675359003,1446.7955510168758,6.177080368091239,78.22265625,25.518570364965193,05,04
05-05,91.72144396551724,116.79148706896552,33.3135775862069,25.070043103448278,145,cv_PURE_my_in_wl0.0_fold2,146.40888436067243,58.87703364391284,2650.754637993299,3161.090106823405,967.2414157921548,8.04918843776313,98.4375,0.0,05,05
05-06,93.8720703125,97.3388671875,33.740234375,3.466796875,144,cv_PURE_my_in_wl0.0_fold2,152.65852116267212,62.72666464898657,3185.819099003126,3676.1902535027116,1303.3137933707292,7.118530300029516,84.375,22.419288831690224,05,06
06-01,63.984375,66.74838362068965,3.2004310344827585,2.7640086206896552,145,cv_PURE_my_in_wl0.0_fold2,114.3131202435312,55.510208927139736,11830.354827497344,1302.336677336344,2699.4844314561137,7.971505379657482,64.453125,1.6572815184059708,06,01
06-03,68.98660714285714,69.70982142857143,1.125,0.7232142857142857,175,cv_PURE_my_in_wl0.0_fold2,125.44137505509035,45.343668112123645,4926.170154720386,1715.214191421309,1011.7664592331423,7.38493476901675,68.5546875,1.7578125,06,03
06-04,73.06906960227273,78.8818359375,6.172318892045454,5.8127663352272725,176,cv_PURE_my_in_wl0.0_fold2,102.04739244951712,50.940189943672486,4603.306225255275,1984.4921502465463,935.4379968393325,6.73912033186243,72.94921875,1.5223102800898336,06,04
06-05,66.9677734375,69.82421875,2.9052734375,2.8564453125,144,cv_PURE_my_in_wl0.0_fold2,152.31750893312915,52.54790016608685,3442.4423784534465,2568.757067802144,1041.0240457376212,7.125390066173117,66.796875,2.8704957923240366,06,05
06-06,67.3302801724138,67.25754310344827,0.5576508620689655,-0.07273706896551724,145,cv_PURE_my_in_wl0.0_fold2,149.35041137633317,66.93540176338976,3037.489385636224,4192.200256520507,1520.610042864398,7.529420658469102,67.96875,1.6572815184059708,06,06
